video_name,frame_number,face_id,x1,y1,x2,y2,confidence,class_id,is_face,original_video,class_name,object_class
segment_000,16,1,53,268,148,388,51.91085052490234,0,True,video_1,face,-1
segment_000,50,1,350,291,443,428,319.2017517089844,0,True,video_1,face,-1
segment_000,51,1,346,279,437,415,334.5744323730469,0,True,video_1,face,-1
segment_000,51,2,123,377,226,480,141.21632385253906,0,True,video_1,face,-1
segment_000,52,1,332,270,420,400,310.5799255371094,0,True,video_1,face,-1
segment_000,52,2,105,365,212,480,149.34791564941406,0,True,video_1,face,-1
segment_000,53,1,320,261,409,384,304.1073303222656,0,True,video_1,face,-1
segment_000,56,1,130,230,240,364,154.0125732421875,0,True,video_1,face,-1
segment_000,57,1,339,141,412,239,278.533447265625,0,True,video_1,face,-1
segment_000,57,2,134,216,245,355,153.87033081054688,0,True,video_1,face,-1
segment_000,58,1,354,157,419,247,261.48779296875,0,True,video_1,face,-1
segment_000,58,2,145,225,251,358,140.40570068359375,0,True,video_1,face,-1
segment_000,59,1,364,150,436,254,288.38970947265625,0,True,video_1,face,-1
segment_000,59,2,147,217,257,350,187.96923828125,0,True,video_1,face,-1
segment_000,60,1,163,220,263,343,187.3955993652344,0,True,video_1,face,-1
segment_000,61,1,166,233,259,352,187.9426422119141,0,True,video_1,face,-1
segment_000,62,1,350,203,418,301,302.7750244140625,0,True,video_1,face,-1
segment_000,62,2,145,235,246,367,175.07952880859375,0,True,video_1,face,-1
segment_000,63,1,143,230,247,357,173.5469512939453,0,True,video_1,face,-1
segment_000,64,1,140,233,244,356,170.22637939453125,0,True,video_1,face,-1
segment_000,65,1,138,235,245,363,168.49783325195312,0,True,video_1,face,-1
segment_000,66,1,339,213,402,295,222.2320098876953,0,True,video_1,face,-1
segment_000,66,2,142,237,243,359,164.86883544921875,0,True,video_1,face,-1
segment_000,67,1,344,217,408,296,205.6589813232422,0,True,video_1,face,-1
segment_000,67,2,146,238,246,363,171.8153839111328,0,True,video_1,face,-1
segment_000,68,1,346,206,408,288,236.995849609375,0,True,video_1,face,-1
segment_000,68,2,149,240,247,367,185.3202972412109,0,True,video_1,face,-1
segment_000,69,1,146,238,249,367,192.25830078125,0,True,video_1,face,-1
segment_000,70,1,348,185,417,285,242.4018402099609,0,True,video_1,face,-1
segment_000,70,2,151,242,253,366,179.0803680419922,0,True,video_1,face,-1
segment_000,71,1,350,188,421,282,310.213623046875,0,True,video_1,face,-1
segment_000,71,2,160,246,256,365,184.92355346679688,0,True,video_1,face,-1
segment_000,72,1,352,183,427,289,226.49899291992188,0,True,video_1,face,-1
